"run","metric","phase_count","clean_spikes","label1","dominant1","label2","dominant2","label3","dominant3","label4","dominant4","max_label1","max1_cy","max_label2","max2_cy","max_label3","max3_cy","max_label4","max4_cy"
"1","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"1","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"1","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"2","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"2","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"2","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"3","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"3","queue_wake_latency_clean_breakdown","2","14","unblock","0","resume","14",,,,,"unblock","246","resume","661",,,,
"3","queue_end_to_end_latency_clean_breakdown","4","15","send","0","unblock","0","resume","15","recv","0","send","71","unblock","246","resume","764","recv","89"
"4","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"4","queue_wake_latency_clean_breakdown","2","21","unblock","0","resume","21",,,,,"unblock","246","resume","870",,,,
"4","queue_end_to_end_latency_clean_breakdown","4","23","send","0","unblock","0","resume","23","recv","0","send","71","unblock","246","resume","973","recv","89"
"5","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"5","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"5","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"6","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"6","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"6","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"7","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"7","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"7","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"8","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"8","queue_wake_latency_clean_breakdown","2","21","unblock","0","resume","21",,,,,"unblock","246","resume","869",,,,
"8","queue_end_to_end_latency_clean_breakdown","4","23","send","0","unblock","0","resume","23","recv","0","send","71","unblock","246","resume","972","recv","89"
"9","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"9","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"9","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
"10","tim2_irq_to_task_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"10","queue_wake_latency_clean_breakdown","2","0","unblock","0","resume","0",,,,,"unblock","0","resume","0",,,,
"10","queue_end_to_end_latency_clean_breakdown","4","0","send","0","unblock","0","resume","0","recv","0","send","0","unblock","0","resume","0","recv","0"
